Region,7/1/10,7/1/11,7/1/12,7/1/13,7/1/14,7/1/15,7/1/16,7/1/17,7/1/18,7/1/19
"Aguadilla-Isabela, PR","338,958","335,118","330,752","326,684","321,451","315,621","309,310","301,725","289,594","289,289"
"Akron, OH","703,031","703,200","702,109","703,621","704,908","704,382","703,524","703,987","703,855","703,479"
"Alamogordo, NM","64,403","65,642","66,208","66,304","65,336","64,768","65,647","66,121","66,659","67,490"
"Albany, GA","154,145","154,545","153,976","152,667","151,949","150,387","149,137","148,090","147,840","146,726"
"Albany-Lebanon, OR","116,891","118,164","118,273","118,405","119,042","120,236","122,769","125,035","127,451","129,749"
"Albany-Schenectady-Troy, NY","871,082","872,778","874,698","877,065","878,113","879,085","879,792","882,158","882,263","880,381"
"Albemarle, NC","60,579","60,530","60,462","60,633","60,618","60,622","60,826","61,505","62,180","62,806"
"Albert Lea, MN","31,204","31,069","31,026","30,923","30,742","30,522","30,449","30,582","30,480","30,281"
"Albertville, AL","93,122","93,895","94,260","94,356","94,257","94,585","95,113","95,572","96,170","96,774"
"Albuquerque, NM","889,558","898,016","901,939","904,953","904,538","906,026","909,237","912,311","914,947","918,018"
"Alexander City, AL","53,256","52,888","52,394","52,282","51,921","51,539","51,405","51,337","51,178","51,030"
"Alexandria, LA","154,096","154,402","154,400","154,623","154,558","154,082","154,124","153,549","152,762","152,037"
"Alexandria, MN","35,989","36,181","36,292","36,349","36,576","36,790","37,154","37,520","37,960","38,141"
"Alice, TX","52,618","53,020","53,233","53,262","53,013","52,859","52,612","52,190","51,903","51,639"
"Allentown-Bethlehem-Easton, PA-NJ","821,923","824,930","826,144","825,731","828,470","830,295","833,163","837,921","842,626","844,052"
"Alma, MI","42,432","42,119","41,973","41,931","41,467","41,331","40,955","40,979","40,602","40,711"
"Alpena, MI","29,510","29,340","29,166","28,957","28,882","28,722","28,663","28,428","28,384","28,405"
"Altoona, PA","127,045","126,970","126,544","125,836","125,274","124,596","123,708","123,147","122,503","121,829"
"Altus, OK","26,485","26,422","26,226","26,109","25,822","25,459","25,440","25,112","24,775","24,530"
"Amarillo, TX","252,664","255,975","257,802","258,896","260,812","261,618","262,987","264,331","264,406","265,053"
"Americus, GA","37,704","37,112","36,606","36,430","36,350","35,905","35,576","35,136","35,026","34,781"
"Ames, IA","115,925","117,424","118,139","120,161","122,092","123,079","123,309","123,721","123,093","123,351"
"Amsterdam, NY","50,307","49,911","49,829","49,743","49,679","49,564","49,169","49,163","49,394","49,221"
"Anchorage, AK","383,053","387,922","391,932","397,022","397,996","398,609","401,368","400,570","397,636","396,317"
"Andrews, TX","14,849","15,386","16,105","16,779","17,435","18,072","17,791","17,603","18,011","18,705"
"Angola, IN","34,109","34,068","34,158","34,371","34,491","34,469","34,329","34,384","34,487","34,594"
"Ann Arbor, MI","345,717","349,753","352,303","356,040","360,021","362,975","366,135","368,807","369,483","367,601"
"Anniston-Oxford, AL","118,408","117,744","117,190","116,471","115,917","115,469","114,973","114,710","114,331","113,605"
"Appleton, WI","225,948","227,548","228,656","229,978","231,627","233,146","234,200","235,811","237,011","237,974"
"Arcadia, FL","34,934","34,845","35,005","34,905","35,338","35,648","36,255","37,241","37,368","38,001"
"Ardmore, OK","57,225","57,454","57,595","58,165","58,323","58,383","58,447","58,349","58,369","58,364"
"Arecibo, PR","199,212","197,379","195,493","194,023","191,124","188,265","184,999","180,765","174,200","174,606"
"Arkadelphia, AR","22,925","22,928","22,755","22,582","22,557","22,513","22,602","22,184","22,313","22,320"
"Asheville, NC","425,338","428,113","430,945","435,795","439,661","444,593","450,310","454,855","459,314","462,680"
"Ashland, OH","53,321","53,252","53,239","53,153","53,161","53,310","53,520","53,662","53,706","53,484"
"Ashtabula, OH","101,403","101,085","100,252","99,746","99,027","98,404","98,171","97,748","97,587","97,241"
"Astoria, OR","37,088","37,228","37,415","37,113","37,449","37,797","38,678","39,101","39,711","40,224"
"Atchison, KS","16,855","16,753","16,774","16,688","16,523","16,418","16,376","16,298","16,173","16,073"
"Athens, OH","65,173","65,079","64,610","64,594","64,783","65,886","66,352","66,503","65,519","65,327"
"Athens, TN","52,176","52,335","52,441","52,431","52,675","52,502","52,700","52,931","53,336","53,794"
"Athens, TX","78,665","78,837","78,992","78,669","79,324","79,492","80,062","80,954","82,103","82,737"
"Athens-Clarke County, GA","193,439","194,375","195,984","197,590","198,361","202,565","205,402","209,106","211,468","213,750"
"Atlanta-Sandy Springs-Alpharetta, GA","5,302,598","5,366,462","5,444,473","5,510,530","5,593,204","5,686,048","5,787,965","5,872,432","5,945,303","6,020,364"
"Atlantic City-Hammonton, NJ","274,648","274,621","274,629","274,314","272,578","270,153","267,217","265,498","263,989","263,670"
"Atmore, AL","38,345","38,204","38,023","37,765","37,735","37,661","37,475","36,993","36,524","36,633"
"Auburn, IN","42,336","42,494","42,328","42,369","42,428","42,496","42,652","42,806","43,208","43,475"
"Auburn, NY","79,895","79,693","79,505","79,088","78,762","78,298","77,674","77,457","77,121","76,576"
"Auburn-Opelika, AL","140,794","144,130","148,567","151,809","154,511","156,954","159,168","161,440","163,656","164,542"
"Augusta-Richmond County, GA-SC","566,694","570,849","576,206","579,802","583,046","589,574","595,029","600,276","604,221","608,980"
"Augusta-Waterville, ME","122,076","121,792","121,591","121,139","121,233","121,010","121,497","121,913","122,044","122,302"
"Austin, MN","39,212","39,351","39,400","39,330","39,417","39,492","39,567","39,773","40,142","40,062"
"Austin-Round Rock-Georgetown, TX","1,727,502","1,780,535","1,834,586","1,883,315","1,942,467","2,002,134","2,062,016","2,115,475","2,165,497","2,227,083"
"Bainbridge, GA","27,817","27,651","27,442","27,391","27,167","27,049","26,679","26,706","26,573","26,404"
"Bakersfield, CA","840,996","847,970","853,606","862,000","869,176","876,031","880,856","887,356","893,758","900,202"
"Baltimore-Columbia-Towson, MD","2,715,738","2,733,785","2,754,637","2,768,233","2,780,055","2,790,053","2,794,111","2,798,707","2,800,743","2,800,053"
"Bangor, ME","153,861","153,759","153,347","153,222","153,201","151,929","151,333","151,645","151,817","152,148"
"Baraboo, WI","62,050","62,236","62,369","62,782","62,959","63,271","63,614","63,967","64,318","64,442"
"Bardstown, KY","43,629","44,062","44,401","44,540","44,858","45,114","45,497","45,591","45,813","46,233"
"Barnstable Town, MA","215,899","215,356","214,788","214,518","214,289","213,877","213,559","213,581","213,471","212,990"
"Barre, VT","59,570","59,591","59,407","59,218","58,961","58,652","58,355","58,253","58,079","58,409"
"Bartlesville, OK","51,069","51,362","51,627","51,646","51,997","52,091","52,027","51,996","51,791","51,527"
"Batavia, NY","59,928","59,880","59,672","59,112","58,725","58,462","58,013","57,798","57,487","57,280"
"Batesville, AR","54,059","54,154","53,987","53,928","53,900","53,843","54,124","54,538","55,058","55,267"
"Baton Rouge, LA","827,629","831,493","836,197","841,986","846,827","851,167","856,723","854,295","854,526","854,884"
"Battle Creek, MI","135,951","135,105","134,737","134,751","134,804","134,327","134,344","134,180","134,049","134,159"
"Bay City, MI","107,679","107,417","106,967","106,794","106,046","105,237","104,411","104,045","103,702","103,126"
"Bay City, TX","36,709","36,681","36,544","36,500","36,478","36,766","37,088","36,805","36,566","36,643"
"Beatrice, NE","22,269","21,908","21,654","21,767","21,557","21,715","21,625","21,621","21,495","21,513"
"Beaumont-Port Arthur, TX","389,251","390,905","389,614","391,195","391,651","394,825","396,539","398,129","393,815","392,563"
"Beaver Dam, WI","88,728","88,389","88,148","87,933","88,071","87,816","87,382","87,705","87,833","87,839"
"Beckley, WV","124,949","125,266","125,110","124,356","123,342","122,070","120,475","118,673","117,154","115,767"
"Bedford, IN","46,102","46,141","46,116","45,896","45,651","45,568","45,578","45,592","45,630","45,370"
"Beeville, TX","31,864","32,318","32,480","32,810","32,841","32,617","32,812","32,592","32,467","32,565"
"Bellefontaine, OH","45,743","45,623","45,410","45,393","45,473","45,250","45,128","45,198","45,332","45,672"
"Bellingham, WA","201,545","203,490","204,863","206,073","208,154","211,836","216,417","221,410","225,197","229,247"
"Bemidji, MN","44,572","45,052","45,147","45,487","45,636","45,605","46,008","46,477","46,735","47,188"
"Bend, OR","157,742","159,660","161,359","165,299","169,512","174,246","180,666","186,744","191,905","197,692"
"Bennettsville, SC","28,917","28,585","28,259","28,060","28,037","27,585","26,979","26,691","26,392","26,118"
"Bennington, VT","37,078","36,813","36,610","36,534","36,167","36,153","35,911","35,675","35,520","35,470"
"Berlin, NH","32,970","32,507","31,978","31,949","32,779","32,343","31,916","31,396","31,486","31,563"
"Big Rapids, MI","42,853","43,455","43,497","43,260","43,200","43,005","43,141","43,258","43,400","43,453"
"Big Spring, TX","34,993","34,990","35,495","36,185","36,542","37,123","36,214","35,817","35,925","36,664"
"Big Stone Gap, VA","45,584","45,541","45,033","44,761","44,027","43,581","42,999","42,492","41,847","41,364"
"Billings, MT","167,571","169,017","170,942","173,367","174,952","176,357","177,759","179,365","180,203","181,667"
"Binghamton, NY","251,489","250,238","248,945","248,017","247,075","245,283","243,322","241,709","240,366","238,691"
"Birmingham-Hoover, AL","1,061,717","1,064,030","1,067,563","1,072,882","1,076,087","1,079,752","1,082,877","1,085,615","1,087,967","1,090,435"
"Bismarck, ND","111,112","112,865","115,679","119,240","122,155","125,325","127,233","128,115","128,279","128,949"
"Blackfoot, ID","45,765","45,893","45,510","45,423","45,214","45,057","45,315","45,884","46,129","46,811"
"Blacksburg-Christiansburg, VA","163,131","163,442","164,120","165,240","165,688","165,725","166,572","166,605","167,492","167,531"
"Bloomington, IL","169,810","170,909","172,721","175,037","174,105","173,141","173,070","172,754","172,410","171,517"
"Bloomington, IN","160,132","161,722","162,852","163,221","164,422","165,073","166,655","167,429","168,092","169,230"
"Bloomsburg-Berwick, PA","85,657","85,449","85,472","85,592","85,538","84,980","84,390","83,851","83,455","83,194"
"Bluefield, WV-VA","114,252","114,063","113,375","112,601","111,721","110,570","109,259","107,526","106,563","105,633"
"Blytheville, AR","46,399","46,031","45,553","44,695","44,247","43,729","42,900","42,112","41,236","40,651"
"Bogalusa, LA","47,089","47,127","46,676","46,407","46,319","46,358","46,387","46,649","46,588","46,194"
"Boise City, ID","617,866","627,670","637,425","649,224","662,624","674,640","691,285","709,682","728,911","749,202"
"Bonham, TX","33,920","33,878","33,601","33,510","33,593","33,502","33,933","34,550","35,185","35,514"
"Boone, NC","50,972","51,626","52,062","52,295","52,395","53,093","54,140","55,181","56,034","56,177"
"Borger, TX","22,214","22,024","22,022","21,921","21,915","21,793","21,528","21,343","21,119","20,938"
"Boston-Cambridge-Newton, MA-NH","4,566,348","4,609,790","4,656,593","4,702,877","4,746,931","4,778,340","4,809,061","4,841,772","4,859,536","4,873,019"
"Boulder, CO","295,037","299,957","304,570","309,323","312,233","318,027","321,250","322,441","324,636","326,196"
"Bowling Green, KY","159,341","160,985","162,450","164,653","166,630","169,507","171,902","174,981","176,864","179,240"
"Bozeman, MT","89,654","91,375","92,570","94,798","97,508","100,882","104,739","108,576","111,682","114,434"
"Bradford, PA","43,345","43,138","43,145","42,808","42,643","42,400","41,670","41,362","40,950","40,625"
"Brainerd, MN","91,261","91,061","91,219","91,483","91,660","91,927","92,759","93,602","94,305","94,834"
"Branson, MO","51,902","52,652","52,901","53,255","53,810","54,216","54,608","55,100","55,719","55,928"
"Breckenridge, CO","28,073","28,042","28,298","28,728","29,317","30,045","30,552","30,820","30,817","31,011"
"Bremerton-Silverdale-Port Orchard, WA","251,681","254,297","254,339","252,401","253,387","259,232","263,142","266,289","269,276","271,473"
"Brenham, TX","33,708","33,966","33,930","34,201","34,403","34,836","34,740","34,861","35,496","35,882"
"Brevard, NC","33,085","32,807","32,835","32,827","32,952","33,157","33,393","33,767","34,173","34,385"
"Bridgeport-Stamford-Norwalk, CT","919,355","928,000","935,099","939,924","944,196","944,943","944,347","943,038","943,971","943,332"
"Brookhaven, MS","34,896","34,871","34,846","34,725","34,733","34,522","34,375","34,340","34,210","34,153"
"Brookings, OR","22,378","22,488","22,257","22,226","22,141","22,293","22,607","22,630","22,795","22,925"
"Brookings, SD","31,999","32,140","32,768","33,016","33,250","33,800","34,301","34,749","35,077","35,077"
"Brownsville, TN","18,812","18,546","18,276","18,234","18,235","18,036","17,822","17,607","17,347","17,304"
"Brownsville-Harlingen, TX","407,630","413,201","415,877","417,357","419,005","419,450","421,350","422,227","422,139","423,163"
"Brownwood, TX","38,076","38,000","37,808","37,671","37,553","37,736","38,039","37,815","37,820","37,864"
"Brunswick, GA","112,534","112,895","113,281","113,781","114,607","115,779","116,571","117,587","118,282","118,779"
"Bucyrus-Galion, OH","43,754","43,310","42,776","42,713","42,407","42,324","42,095","41,710","41,484","41,494"
"Buffalo-Cheektowaga, NY","1,135,627","1,135,562","1,134,619","1,134,974","1,135,060","1,133,002","1,130,232","1,129,882","1,129,777","1,127,983"
"Burley, ID","43,163","43,313","43,415","43,744","43,842","43,929","44,092","44,372","44,510","45,069"
"Burlington, IA-IL","47,584","47,282","47,272","47,358","47,107","46,871","46,499","46,145","45,846","45,613"
"Burlington, NC","151,431","152,692","153,265","154,162","155,384","157,037","160,283","163,276","166,514","169,509"
"Burlington-South Burlington, VT","211,538","213,235","213,962","214,827","215,676","217,152","217,447","218,975","219,939","220,411"
"Butte-Silver Bow, MT","34,230","34,405","34,474","34,574","34,752","34,691","34,696","34,811","34,739","34,915"
"Cadillac, MI","47,555","47,542","47,527","47,537","47,829","47,771","48,099","48,254","48,547","48,749"
"Calhoun, GA","55,257","55,520","55,687","55,761","55,836","56,324","56,933","57,164","57,628","57,963"
"California-Lexington Park, MD","105,761","107,566","108,800","109,224","109,913","110,985","111,750","112,487","112,720","113,510"
"Cambridge, MD","32,688","32,699","32,476","32,555","32,492","32,419","32,276","32,105","31,960","31,929"
"Cambridge, OH","40,155","39,910","39,876","39,706","39,690","39,392","39,211","39,066","39,011","38,875"
"Camden, AR","31,408","30,980","30,676","30,140","29,928","29,516","29,156","29,018","28,847","28,571"
"Campbellsville, KY","35,903","36,182","36,346","36,313","36,377","36,537","36,410","36,580","36,512","36,710"
"Cañon City, CO","46,837","47,379","47,052","46,332","46,147","46,282","46,976","47,548","47,959","47,839"
"Canton-Massillon, OH","404,218","403,331","403,429","403,365","403,675","402,433","401,068","399,327","398,330","397,520"
"Cape Coral-Fort Myers, FL","620,449","631,053","644,197","659,834","677,232","699,644","722,649","740,000","754,470","770,577"
"Cape Girardeau, MO-IL","96,447","96,982","97,210","97,177","97,405","97,316","97,109","96,819","96,868","96,765"
"Carbondale-Marion, IL","139,409","139,956","138,698","140,077","139,658","139,419","138,634","137,352","136,694","135,764"
"Carlsbad-Artesia, NM","53,909","54,070","54,419","55,662","56,682","57,715","57,650","57,108","57,729","58,460"
"Carroll, IA","20,824","20,860","20,654","20,541","20,499","20,423","20,388","20,274","20,153","20,165"
"Carson City, NV","54,981","54,676","54,312","53,726","54,082","54,068","54,147","54,532","55,202","55,916"
"Casper, WY","75,470","76,399","78,565","81,103","81,377","82,137","80,909","79,586","79,175","79,858"
"Cedar City, UT","46,263","46,622","46,646","46,530","47,041","48,113","49,676","50,761","52,678","54,839"
"Cedar Rapids, IA","258,440","261,028","261,916","262,706","264,300","266,312","268,224","270,653","272,061","273,032"
"Cedartown, GA","41,547","41,281","41,101","40,977","40,879","41,207","41,555","41,818","42,346","42,613"
"Celina, OH","40,788","40,715","40,705","40,615","40,730","40,723","40,715","40,858","40,952","41,172"
"Central City, KY","31,657","31,528","31,382","31,323","31,302","31,245","31,150","30,925","30,811","30,622"
"Centralia, IL","39,416","39,141","39,008","38,669","38,555","38,359","38,045","37,726","37,381","37,205"
"Centralia, WA","75,502","75,668","75,435","74,962","74,844","75,437","76,693","78,320","79,569","80,707"
"Chambersburg-Waynesboro, PA","149,925","150,934","151,482","151,945","152,607","153,048","153,705","154,376","154,579","155,027"
"Champaign-Urbana, IL","218,255","219,876","221,131","222,854","224,351","225,732","226,722","226,847","226,284","226,033"
"Charleston, WV","277,805","276,817","276,704","275,412","273,606","270,858","268,130","264,227","260,280","257,074"
"Charleston-Mattoon, IL","64,919","64,704","64,268","63,957","63,446","63,039","62,651","62,233","61,633","61,387"
"Charleston-North Charleston, SC","667,450","681,262","696,839","711,272","726,836","745,185","761,578","775,537","788,122","802,122"
"Charlotte-Concord-Gastonia, NC-SC","2,250,121","2,281,230","2,318,671","2,358,660","2,400,483","2,447,898","2,499,697","2,550,373","2,592,950","2,636,883"
"Charlottesville, VA","201,891","203,617","205,532","206,755","209,187","211,494","213,675","216,104","217,335","218,615"
"Chattanooga, TN-GA","529,131","533,621","538,103","542,181","544,183","547,205","551,859","555,953","560,832","565,194"
"Cheyenne, WY","92,236","92,576","94,697","95,707","96,036","96,969","97,887","98,377","98,865","99,500"
"Chicago-Naperville-Elgin, IL-IN-WI","9,470,634","9,500,870","9,528,090","9,550,194","9,560,430","9,552,554","9,533,662","9,514,113","9,484,158","9,458,539"
"Chico, CA","219,949","219,975","220,869","221,641","223,516","224,631","226,231","228,696","230,339","219,186"
"Chillicothe, OH","78,098","77,581","77,341","77,283","77,095","77,049","76,848","77,295","76,884","76,666"
"Cincinnati, OH-KY-IN","2,140,715","2,146,208","2,152,554","2,162,060","2,172,190","2,181,427","2,191,572","2,202,558","2,211,936","2,221,208"
"Clarksburg, WV","94,336","94,488","94,367","94,446","94,243","94,168","93,877","93,337","92,878","92,399"
"Clarksdale, MS","26,106","25,851","25,616","25,182","24,840","24,500","23,834","23,214","22,605","22,124"
"Clarksville, TN-KY","274,959","277,405","287,393","285,441","289,628","292,878","293,712","298,635","304,301","307,820"
"Clearlake, CA","64,735","64,251","63,954","63,796","64,044","64,260","63,903","64,111","64,317","64,386"
"Cleveland, MS","34,106","33,807","33,997","33,979","33,818","33,230","32,549","31,718","31,115","30,628"
"Cleveland, TN","115,896","116,569","117,673","118,410","119,455","120,543","121,184","122,180","123,968","124,942"
"Cleveland-Elyria, OH","2,075,478","2,068,989","2,064,776","2,067,100","2,067,356","2,064,012","2,060,997","2,057,238","2,053,795","2,048,449"
"Clewiston, FL","39,009","38,972","37,870","37,809","38,474","39,248","40,037","41,018","41,336","42,022"
"Clinton, IA","49,096","49,102","48,701","48,281","47,895","47,558","47,248","46,874","46,437","46,429"
"Clovis, NM","48,971","49,819","50,806","50,775","51,109","50,290","50,283","49,794","49,338","48,954"
"Coamo, PR","40,591","40,586","40,481","40,422","40,170","39,889","39,489","38,968","37,849","38,336"
"Coco, PR","31,037","30,755","30,405","30,172","29,733","29,287","28,804","28,238","27,087","27,128"
"Coeur d'Alene, ID","138,848","140,932","142,084","143,897","146,529","149,367","153,019","157,320","161,209","165,697"
"Coffeyville, KS","35,349","34,779","34,472","34,444","34,090","33,436","32,859","32,390","32,091","31,829"
"Coldwater, MI","45,174","43,923","43,792","43,587","43,733","43,639","43,466","43,375","43,566","43,517"
"College Station-Bryan, TX","229,458","231,435","234,148","237,816","242,830","250,567","254,391","259,123","261,335","264,728"
"Colorado Springs, CO","650,500","660,674","669,448","678,565","686,562","697,389","712,335","724,773","737,202","745,791"
"Columbia, MO","190,947","194,030","196,540","198,824","200,492","202,152","204,049","205,725","206,746","208,173"
"Columbia, SC","769,646","776,195","783,250","790,842","798,882","809,136","817,188","824,939","831,690","838,433"
"Columbus, GA-AL","309,476","315,305","322,721","327,844","325,273","322,772","319,040","315,942","318,211","321,048"
"Columbus, IN","76,818","77,620","79,001","79,655","80,497","81,458","82,231","82,213","82,722","83,779"
"Columbus, MS","59,796","59,615","59,604","59,803","59,804","59,697","59,549","59,147","58,760","58,595"
"Columbus, NE","32,305","32,512","32,669","32,595","32,740","32,876","33,008","33,231","33,287","33,470"
"Columbus, OH","1,906,366","1,926,338","1,947,208","1,974,061","2,001,635","2,027,568","2,052,192","2,082,581","2,104,194","2,122,271"
"Concord, NH","146,388","146,867","147,105","147,497","148,161","148,649","149,063","149,830","150,650","151,391"
"Connersville, IN","24,325","24,150","23,947","23,826","23,442","23,388","23,252","23,154","23,076","23,102"
"Cookeville, TN","106,266","106,788","107,288","107,625","108,405","108,675","109,560","110,999","112,476","114,272"
"Coos Bay, OR","63,007","62,775","62,676","62,376","62,361","62,643","63,319","63,708","64,272","64,487"
"Cordele, GA","23,433","23,753","23,589","23,298","23,061","22,959","22,905","22,710","22,617","22,372"
